City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Alfred,ZA,67.26,clear sky,-33.5906,26.891,The Halyards Hotel
5,Guarapari,BR,72.52,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
10,Stephenville,US,67.15,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
12,Port Elizabeth,ZA,62.31,broken clouds,-33.918,25.5701,39 On Nile Guest House
13,Guerrero Negro,MX,60.51,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
15,Cabo San Lucas,MX,73.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Busselton,AU,63.25,clear sky,-33.65,115.3333,Observatory Guest House
28,Ribeira Grande,PT,63.3,light rain,38.5167,-28.7,Quinta da Meia Eira
32,Puerto Ayora,EC,73.18,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Oytal,KZ,64.76,scattered clouds,42.9057,73.2697,Sanatorium Ak-Niet
36,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
44,Vostok,RU,60.42,light rain,46.4856,135.8833,
52,West Wendover,US,72.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
57,Esperance,AU,63.07,few clouds,-33.8667,121.9,Hospitality Esperance
65,Billings,US,69.57,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
68,Mataura,NZ,63.95,overcast clouds,-46.1927,168.8643,Ellie's Villa
70,Narrabri,AU,68.52,clear sky,-30.3167,149.7833,Crossroads Hotel
79,Katsuura,JP,67.5,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
83,Yulara,AU,62.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
87,Alta Floresta,BR,70.83,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
94,Presidencia Roque Saenz Pena,AR,64.17,overcast clouds,-26.7852,-60.4388,Hotel Gualok
97,Nongstoin,IN,71.74,scattered clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
101,Te Anau,NZ,62.98,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
113,Camalu,MX,61.95,few clouds,30.85,-116.0667,La Cueva del Pirata
115,Arraial Do Cabo,BR,73.99,clear sky,-22.9661,-42.0278,Pousada Porto Praia
123,Pokhara,NP,71.01,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
