,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iralaya,HN,15.0,-83.2333,79.32,86,94,12.12,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,84.36,74,96,15.05,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,67.26,52,0,10.02,clear sky
3,Krasnoselkup,RU,65.7,82.4667,20.75,73,80,5.03,broken clouds
4,Kapaa,US,22.0752,-159.319,82.38,79,100,16.11,overcast clouds
5,Guarapari,BR,-20.6667,-40.4975,72.52,93,41,8.01,scattered clouds
6,Bluff,NZ,-46.6,168.3333,59.63,76,100,5.32,overcast clouds
7,Egvekinot,RU,66.3167,-179.1667,21.43,87,95,3.44,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,78.01,85,66,16.15,light rain
9,Albany,US,42.6001,-73.9662,55.81,83,100,4.21,overcast clouds
10,Stephenville,US,32.2207,-98.2023,67.15,63,0,3.44,clear sky
11,Minab,IR,27.1467,57.0801,84.83,46,0,3.09,clear sky
12,Port Elizabeth,ZA,-33.918,25.5701,62.31,95,75,16.11,broken clouds
13,Guerrero Negro,MX,27.9769,-114.0611,60.51,89,15,15.55,few clouds
14,Hermanus,ZA,-34.4187,19.2345,58.41,89,54,7.52,broken clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,73.62,66,0,9.31,clear sky
16,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,18.41,light intensity shower rain
17,Qaanaaq,GL,77.484,-69.3632,11.44,75,25,7.54,scattered clouds
18,Pangai,TO,-19.8,-174.35,82.51,65,40,5.75,scattered clouds
19,Luderitz,NA,-26.6481,15.1594,58.21,85,0,10.13,clear sky
20,Solnechnyy,RU,50.7214,136.6319,37.35,95,100,2.71,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,37.72,96,88,7.31,light rain
22,Tasiilaq,GL,65.6145,-37.6368,21.36,70,9,6.76,clear sky
23,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.24,89,66,2.28,broken clouds
24,Ust-Maya,RU,60.4167,134.5333,41.47,61,89,6.85,overcast clouds
25,Busselton,AU,-33.65,115.3333,63.25,48,0,13.15,clear sky
26,Hofn,IS,64.2539,-15.2082,39.02,53,0,12.37,clear sky
27,Natal,BR,-5.795,-35.2094,75.85,100,75,4.61,broken clouds
28,Ribeira Grande,PT,38.5167,-28.7,63.3,88,100,29.8,light rain
29,Severo-Kurilsk,RU,50.6789,156.125,37.63,81,79,4.56,broken clouds
30,Garden City,US,42.3256,-83.331,55.65,88,100,9.22,light rain
31,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,8.05,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,73.18,93,100,5.79,overcast clouds
33,Westport,US,41.1415,-73.3579,59.36,67,0,5.75,clear sky
34,Mnogovershinnyy,RU,53.9353,139.9242,31.86,99,100,6.49,light snow
35,Oytal,KZ,42.9057,73.2697,64.76,62,48,5.53,scattered clouds
36,Dunedin,NZ,-45.8742,170.5036,60.8,68,100,3.0,overcast clouds
37,Carnarvon,AU,-24.8667,113.6333,84.27,24,0,11.5,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,17.27,scattered clouds
39,Barrow,US,71.2906,-156.7887,17.62,79,100,14.97,overcast clouds
40,Hay River,CA,60.8156,-115.7999,48.16,46,75,5.75,broken clouds
41,Siocon,PH,7.7061,122.1353,87.91,66,84,1.77,broken clouds
42,New Norfolk,AU,-42.7826,147.0587,56.91,90,95,1.01,overcast clouds
43,Narsaq,GL,60.9167,-46.05,32.22,96,100,12.33,snow
44,Vostok,RU,46.4856,135.8833,60.42,55,100,15.5,light rain
45,Kodiak,US,57.79,-152.4072,44.11,81,100,14.97,overcast clouds
46,Correntina,BR,-13.3433,-44.6367,75.47,57,67,3.09,broken clouds
47,Georgetown,MY,5.4112,100.3354,87.73,74,20,4.61,few clouds
48,Hervey Bay,AU,-25.2986,152.8535,76.68,76,12,9.91,few clouds
49,Ilulissat,GL,69.2167,-51.1,14.02,62,2,0.0,clear sky
50,Kirakira,SB,-10.4544,161.9205,84.18,77,54,6.8,broken clouds
51,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,scattered clouds
52,West Wendover,US,40.7391,-114.0733,72.61,15,0,8.05,clear sky
53,Kruisfontein,ZA,-34.0033,24.7314,57.67,79,6,7.2,clear sky
