City=ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-05-06 02:56:47,71.2906,-156.7887,18.3,90,100,13.04
1,Khatanga,RU,2022-05-06 02:56:48,71.9667,102.5,19.99,84,48,16.46
2,Tazovskiy,RU,2022-05-06 02:56:49,67.4667,78.7,14.86,82,9,11.1
3,Bluff,NZ,2022-05-06 02:56:49,-46.6,168.3333,59.63,76,100,5.32
4,Busselton,AU,2022-05-06 02:56:50,-33.65,115.3333,63.25,48,0,13.15
5,Labuhan,ID,2022-05-06 02:48:15,-6.8844,112.2051,85.39,70,18,4.68
6,Moosomin,CA,2022-05-06 02:56:51,50.1333,-101.6677,58.46,64,92,12.86
7,Atuona,PF,2022-05-06 02:56:52,-9.8,-139.0333,78.98,74,97,14.41
8,Jamestown,US,2022-05-06 02:56:52,42.097,-79.2353,55.06,62,100,1.01
9,Kodiak,US,2022-05-06 02:56:19,57.79,-152.4072,41.13,89,98,10.11
10,Kismayo,SO,2022-05-06 02:56:53,-0.3582,42.5454,78.21,88,83,10.31
11,Marrakesh,MA,2022-05-06 02:56:54,31.6315,-8.0083,66.27,48,0,5.75
12,Brokopondo,SR,2022-05-06 02:56:54,4.75,-55.1667,76.91,91,100,8.05
13,Sioux Lookout,CA,2022-05-06 02:52:29,50.1001,-91.917,44.67,70,40,2.3
14,Saint-Philippe,RE,2022-05-06 02:56:55,-21.3585,55.7679,76.59,86,56,16.64
15,Nemuro,JP,2022-05-06 02:56:56,43.3236,145.575,46.96,81,40,13.71
16,Port Elizabeth,ZA,2022-05-06 02:56:57,-33.918,25.5701,62.31,96,0,12.66
17,Noumea,NC,2022-05-06 02:56:57,-22.2763,166.4572,82.38,99,53,15.03
18,Muros,ES,2022-05-06 02:56:58,42.7762,-9.0603,54.84,77,18,11.03
19,Mataura,NZ,2022-05-06 02:56:58,-46.1927,168.8643,63.95,67,100,1.86
20,Kolyshley,RU,2022-05-06 02:56:59,52.7005,44.5367,36.79,63,0,4.45
21,Ipixuna,BR,2022-05-06 02:57:00,-1.7625,-48.8043,74.64,98,100,2.66
22,Flinders,AU,2022-05-06 02:57:00,-34.5833,150.8552,68.18,47,0,10.0
23,Afrikanda,RU,2022-05-06 02:57:01,67.4429,32.7828,32.81,99,100,4.74
24,Hobart,AU,2022-05-06 02:54:40,-42.8794,147.3294,57.06,87,75,9.22
25,Tiznit,MA,2022-05-06 02:57:02,29.5833,-9.5,64.35,38,0,3.24
26,Hilo,US,2022-05-06 02:57:03,19.7297,-155.09,82.27,98,100,3.0
27,Avarua,CK,2022-05-06 02:57:03,-21.2078,-159.775,82.45,74,20,4.61
28,Nikolskoye,RU,2022-05-06 02:57:04,59.7035,30.7861,44.49,73,84,6.51
29,Hithadhoo,MV,2022-05-06 02:57:05,-0.6,73.0833,84.36,74,96,15.05
30,Bubaque,GW,2022-05-06 02:57:05,11.2833,-15.8333,78.46,70,4,15.84
31,Zorritos,PE,2022-05-06 02:57:06,-3.6805,-80.6782,77.29,79,99,3.6
32,Cape Town,ZA,2022-05-06 02:57:07,-33.9258,18.4232,58.12,93,0,5.01
33,Hamilton,US,2022-05-06 02:55:42,39.1834,-84.5333,58.87,95,100,10.36
34,Castro,BR,2022-05-06 02:57:08,-24.7911,-50.0119,54.1,94,3,2.46
35,Sao Felix Do Xingu,BR,2022-05-06 02:57:08,-6.6447,-51.995,71.73,98,75,1.86
36,Dombas,NO,2022-05-06 02:57:10,62.0696,9.1235,30.09,92,100,0.69
37,Longyearbyen,SJ,2022-05-06 02:57:10,78.2186,15.6401,22.84,86,75,9.22
38,Cayenne,GF,2022-05-06 02:55:16,4.9333,-52.3333,80.1,1,75,1.01
39,Kruisfontein,ZA,2022-05-06 02:57:12,-34.0033,24.7314,57.67,79,6,7.2
40,Santana,BR,2022-05-06 02:57:12,-0.0583,-51.1817,82.58,83,20,6.91
41,San Martin,AR,2022-05-06 02:57:13,-33.081,-68.4681,55.94,49,1,5.26
42,Leningradskiy,RU,2022-05-06 02:57:14,69.3833,178.4167,23.72,88,93,6.17
43,Hasaki,JP,2022-05-06 02:57:14,35.7333,140.8333,77.29,72,100,11.27
